Section,Metric,Definition,Imputations if any/Disclaimers
Supply Chart,Maximum number of Orders originating from State ,Maximum Number of Total Confirmed Orders from a state using seller pincode get the state from districts mapping.,
Supply Chart,Maximum number of Orders to State,Maximum Number of Total  Confirmed Orders to a state using delivery pincode get the state from districts mapping.,
Key Data Insights,District with the Highest increase in the orders since last month,Data is grouped at district level using delivery pincode and district mapping. Delta Orders = Total MTD Orders - Prev MTD Orders. Percentage is calculated as 100* (Delta_Orders/Total_Prev_Orders). Sort the delta orders and fetch the maximum,
Key Data Insights,District with the Highest increase in the orders since last week,Data is grouped at district level using delivery pincode and district mapping.Delta Orders = Total WTD Orders - Prev WTD Orders. Percentage is calculated as 100* (Delta_Orders/Total_Prev_Orders). Sort the delta orders and fetch the maximum,
Key Data Insights,Sub-Category with the highest Increase in the Order Volume in the Last Month,Data is grouped at sub category level. Delta Orders = Total MTD Orders grouped at sub_category - Prev MTD Orders grouped at sub category. Percentage is calculated as 100* (Delta Orders/Total PrevOrders). Sort the delta orders within a sub cat and fetch the maximum,
Key Data Insights,State with the Highest increase in the orders since last month,Data is grouped at state level using delivery pincode and district mapping.Delta Orders = Total MTD Orders - Prev MTD Orders. Percentage is calculated as 100* (Delta Orders/Total Prev Orders). Sort the delta orders and fetch the maximum,
Key Data Insights,State with the Highest increase in the orders since last week,Data is grouped at state level using delivery pincode and district mapping. Delta Orders = Total WTD Orders - Prev WTD Orders. Percentage is calculated as 100* (Delta Orders/Total Prev Orders). Sort the delta orders and fetch the maximum,
Key Data Insights,District with highest increase in Intradistrict Orders,Data is mapped to district and state using district mapping. Intradistrict orders are total confirmed orders  where delivery district is same as seller district. Highest for the MTD is fetched,
Key Data Insights,District with highest increase in Intrastate Orders,Data is mapped to district and state using district mapping. Intrastate orders are total confirmed orders where delivery state is same as seller state. Highest for the MTD is fetched,
Key Data Insights,80% of the Orders are done by x% of the Active Sellers,"
Total Orders are calculated, along with orders by individual sellers. The cumulative orders of each sellers are compared to the total orders, and sellers with cumulative orders less than or equal to 80% are identified. The percentage of sellers with cumulative orders below 80% is obtained by dividing the count of such sellers by the total number of sellers and multiplying by 100.",
